element	wave_A	unc_obs_wl	ritz_wl_air(A)	unc_ritz_wl	intens	Aki(s^-1)	loggf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
Ar 2	4131.7232	0.0001	4131.72327	0.00007	891	8.5e+07	-0.36	B	148620.1414	172816.2926	3s2.3p4.(1D).4s	2D	3/2	3s2.3p4.(1D).4p	2P*	1/2		T926	L11520
Ar 1	4158.590		4158.59070		400	1.40e+06	-1.74	B	93143.7600	117183.5901	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).5p	2[3/2]	2		T5223	L2634
Ar 1	4200.674		4200.67472		400	9.7e+05	-1.75	B+	93143.7600	116942.7542	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).5p	2[5/2]	3		T5223	L2634
Ar 1	4259.362		4259.3617		200	3.98e+06	-1.97	B+	95399.8276	118870.9170	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	3s2.3p5.(2P*<1/2>).5p	2[1/2]	0		T5223	L2634
Ar 2	4277.5279	0.0001	4277.52786	0.00006	1995	8.0e+07	-0.06	B	148842.4674	172213.8798	3s2.3p4.(1D).4s	2D	5/2	3s2.3p4.(1D).4p	2P*	3/2		T926	L11520
Ne 1	4334.1267	0.0004	4334.1253	0.0003	700				148257.7898	171324.0107	2s2.2p5.(2P*<3/2>).3p	2[1/2]	1	2s2.2p5.(2P*<1/2>).7s	2[1/2]*	1			L3451
H 1	4340.472	0.006	4340.471	0.003	90000	2.5304e+06	-0.44666	AAA	82259.158	105291.657	2			5				T8637	L7436c29
Ar 2	4348.0635	0.0001	4348.06354	0.00008	1995	1.171e+08	0.424	A	134241.7389	157234.0196	3s2.3p4.(3P).4s	4P	5/2	3s2.3p4.(3P).4p	4D*	7/2		T926	L11520
Ar 2	4426.0008	0.0001	4426.00080	0.00005	1514	8.17e+07	0.158	A	135085.9958	157673.4134	3s2.3p4.(3P).4s	4P	3/2	3s2.3p4.(3P).4p	4D*	5/2		T926	L11520
Ar 2	4430.1885	0.0001	4430.18862	0.00008	661	5.69e+07	-0.174	A	135601.7336	158167.7999	3s2.3p4.(3P).4s	4P	1/2	3s2.3p4.(3P).4p	4D*	3/2		T926	L11520
Ar 1	4510.733		4510.7334		100	1.18e+06	-2.44	B+	95399.8276	117562.9553	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	3s2.3p5.(2P*<3/2>).5p	2[1/2]	0		T5223	L2634
Ar 2	4545.0516	0.0001	4545.05166	0.00007	1738	4.71e+07	-0.234	B	138243.6444	160239.4280	3s2.3p4.(3P).4s	2P	3/2	3s2.3p4.(3P).4p	2P*	3/2		T926	L11520
Ar 2	4609.5669	0.0001	4609.56692	0.00007	2291	7.89e+07	0.304	A	148842.4674	170530.4040	3s2.3p4.(1D).4s	2D	5/2	3s2.3p4.(1D).4p	2F*	7/2		T926	L11520
Ar 2	4657.9009	0.0001	4657.90090	0.00007	1445	8.92e+07	-0.236	B	138243.6444	159706.5337	3s2.3p4.(3P).4s	2P	3/2	3s2.3p4.(3P).4p	2P*	1/2		T926	L11520
Ar 2	4764.8644	0.0001	4764.86444	0.00007	2344	6.4e+07	-0.06	B	139258.3389	160239.4280	3s2.3p4.(3P).4s	2P	1/2	3s2.3p4.(3P).4p	2P*	3/2		T926	L11520
H 1	4861.35	0.05	4861.333	0.003	180000	8.4193e+06	-0.01996	AAA	82259.158	102823.904	2			4				T8637	L7439c30
Ar 2	4879.8634	0.0001	4879.86345	0.00008	2239	8.23e+07	0.246	A	138243.6444	158730.2995	3s2.3p4.(3P).4s	2P	3/2	3s2.3p4.(3P).4p	2D*	5/2		T926	L11520
Ar 2	4965.0794	0.0001	4965.07942	0.00008	891	3.94e+07	-0.234	A	139258.3389	159393.3850	3s2.3p4.(3P).4s	2P	1/2	3s2.3p4.(3P).4p	2D*	3/2		T926	L11520
Ne 1	5852.4878	0.0005	5852.4879	0.0005	20000	6.15e+07	-0.500	AA	135888.7173	152970.7328	2s2.2p5.(2P*<1/2>).3s	2[1/2]*	1	2s2.2p5.(2P*<1/2>).3p	2[1/2]	0		T6389	L7292
Ne 1	6143.0627	0.0005	6143.0626	0.0005	10000	2.82e+07	-0.10	B+	134041.8400	150315.8612	2s2.2p5.(2P*<3/2>).3s	2[3/2]*	2	2s2.2p5.(2P*<3/2>).3p	2[3/2]	2		T2733	L7292
Ne 1	6402.248	0.001	6402.2472	0.0006	20000	5.149e+07	0.3456	AAA	134041.8400	149657.0392	2s2.2p5.(2P*<3/2>).3s	2[3/2]*	2	2s2.2p5.(2P*<3/2>).3p	2[5/2]	3		T4273	L7292
H 1	6562.79	0.03	6562.819	0.007	500000	4.4101e+07	0.71000	AAA	82259.158	97492.304	2			3				T8637	L7400c29
Ar 1	6677.282		6677.2811		100	2.36e+05	-2.80	B	93750.5978	108722.6194	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[1/2]	0		T5223	L2634
Ar 1	6965.431		6965.4300		10000	6.4e+06	-0.855	B+	93143.7600	107496.4166	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<1/2>).4p	2[1/2]	1		T5223	L2634
Ar 1	7067.218		7067.2175		10000	3.8e+06	-0.85	B	93143.7600	107289.7001	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<1/2>).4p	2[3/2]	2		T5223	L2634
Ar 1	7272.936		7272.9354		2000	1.83e+06	-1.361	B+	93750.5978	107496.4166	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[1/2]	1		T5223	L2634
Ar 1	7383.980		7383.9801		10000	8.5e+06	-0.46	B	93750.5978	107289.7001	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[3/2]	2		T5223	L2634
Ar 1	7503.869		7503.8680		20000	4.5e+07	-0.42	B	95399.8276	108722.6194	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[1/2]	0		T5223	L2634
Ar 1	7635.106		7635.1054		25000	2.45e+07	0.03	B	93143.7600	106237.5518	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[3/2]	2		T5223	L2634
Ar 1	7723.761		7723.7600		15000	5.2e+06	-0.857	B+	93143.7600	106087.2598	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[3/2]	1		T5223	L2634
Ar 1	7948.176		7948.1759		20000	1.86e+07	-0.28	B	94553.6652	107131.7086	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	0	3s2.3p5.(2P*<1/2>).4p	2[3/2]	1		T5223	L2634
Ar 1	8014.786		8014.7854		25000	9.3e+06	-0.35	B	93143.7600	105617.2700	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[5/2]	2		T5223	L2634
Ar 1	8103.693		8103.6921		20000	2.50e+07	-0.131	B+	93750.5978	106087.2598	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	1	3s2.3p5.(2P*<3/2>).4p	2[3/2]	1		T5223	L2634
Ar 1	8115.311		8115.3109		35000	3.3e+07	0.36	B	93143.7600	105462.7596	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[5/2]	3		T5223	L2634
Ar 1	8264.522		8264.5215		10000	1.53e+07	-0.328	B+	95399.8276	107496.4166	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[1/2]	1		T5223	L2634
Ar 1	8408.210		8408.2085		15000	2.23e+07	0.073	B+	95399.8276	107289.7001	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[3/2]	2		T5223	L2634
Ne 1	8418.4265	0.0004	8418.4274	0.0010	26000	1.56e+07	-0.08	B+	149824.2215	161699.6613	2s2.2p5.(2P*<3/2>).3p	2[5/2]	2	2s2.2p5.(2P*<3/2>).3d	2[5/2]*	2		T6976	L3451
Ar 1	8521.442		8521.4411		15000	1.39e+07	-0.34	B	95399.8276	107131.7086	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[3/2]	1		T5223	L2634
Ar 1	9122.967		9122.9666		35000	1.89e+07	-0.15	B	93143.7600	104102.0990	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[1/2]	1		T5223	L2634
Ne 1	9148.6720	0.0010	9148.6716	0.0012	12000	6.02e+06	-0.42	B	150772.1118	161699.6613	2s2.2p5.(2P*<1/2>).3p	2[3/2]	1	2s2.2p5.(2P*<3/2>).3d	2[5/2]*	2		T6976	L9097
